text,label,language,text_translated,language_translated
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,0,en,$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,en
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,0,en,$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,en
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",0,en,"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",en
$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,0,en,$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,en
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,0,da,$FINKO - Function slide after Piper Jaffray PT cut https://t.co/z37IJmCQzB,en
$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,0,en,$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,en
$GM - GM loses a bull https://t.co/tdUfG5HbXy,0,en,$GM - GM loses a bull https://t.co/tdUfG5HbXy,en
$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,0,de,$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,de
$GTT: Cowen cuts to Market Perform,0,en,$GTT: Cowen cuts to Market Perform,en
$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,0,en,$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,en
$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,0,en,$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,en
"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",0,en,"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",en
$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,0,en,$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,en
$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,0,en,$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,en
